x        m             v        
  2.11   1.481788219   0.949658622 
  2.12   1.491294935   0.951680959 
  2.13   1.500821767   0.953681964 
  2.14   1.510368502   0.955661464 
  2.15   1.519934924   0.957619295 
  2.16   1.529520815   0.959555301 
  2.17   1.539125957   0.961469332 
  2.18   1.548750128   0.963361246 
  2.19   1.558393108   0.965230909 
  2.20   1.568054672   0.967078194 
  2.21   1.577734596   0.968902982 
  2.22   1.587432656   0.970705161 
  2.23   1.597148624   0.972484626 
  2.24   1.606882273   0.974241281 
  2.25   1.616633373   0.975975038 
  2.26   1.626401697   0.977685813 
  2.27   1.636187013   0.979373535 
  2.28   1.645989090   0.981038136 
  2.29   1.655807698   0.982679558 
  2.30   1.665642604   0.984297749 
  2.31   1.675493576   0.985892666 
  2.32   1.685360380   0.987464274 
  2.33   1.695242783   0.989012542 
  2.34   1.705140553   0.990537451 
  2.35   1.715053454   0.992038985 
  2.36   1.724981254   0.993517140 
  2.37   1.734923719   0.994971915 
  2.38   1.744880615   0.996403319 
  2.39   1.754851708   0.997811367 
  2.40   1.764836764   0.999196081 
  2.41   1.774835552   1.000557491 
  2.42   1.784847837   1.001895633 
  2.43   1.794873387   1.003210550 
  2.44   1.804911970   1.004502294 
  2.45   1.814963356   1.005770919 
  2.46   1.825027312   1.007016491 
  2.47   1.835103609   1.008239080 
  2.48   1.845192017   1.009438761 
  2.49   1.855292308   1.010615618 
  2.50   1.865404254   1.011769741 
  2.51   1.875527627   1.012901224 
  2.52   1.885662203   1.014010169 
  2.53   1.895807756   1.015096684 
  2.54   1.905964062   1.016160882 
  2.55   1.916130900   1.017202882 
  2.56   1.926308046   1.018222809 
  2.57   1.936495283   1.019220792 
  2.58   1.946692390   1.020196969 
  2.59   1.956899150   1.021151479 
  2.60   1.967115347   1.022084468 
  2.61   1.977340768   1.022996087 
  2.62   1.987575198   1.023886492 
  2.63   1.997818428   1.024755844 
  2.64   2.008070246   1.025604307 
  2.65   2.018330445   1.026432052 
  2.66   2.028598818   1.027239252 
  2.67   2.038875162   1.028026085 
  2.68   2.049159273   1.028792734 
  2.69   2.059450950   1.029539384 
  2.70   2.069749994   1.030266225 
  2.71   2.080056209   1.030973451 
  2.72   2.090369399   1.031661258 
  2.73   2.100689370   1.032329848 
  2.74   2.111015932   1.032979423 
  2.75   2.121348896   1.033610190 
  2.76   2.131688074   1.034222358 
  2.77   2.142033282   1.034816140 
  2.78   2.152384336   1.035391750 
  2.79   2.162741057   1.035949406 
  2.80   2.173103265   1.036489328 
  2.81   2.183470785   1.037011737 
  2.82   2.193843442   1.037516857 
  2.83   2.204221065   1.038004915 
  2.84   2.214603485   1.038476138 
  2.85   2.224990533   1.038930755 
  2.86   2.235382045   1.039368997 
  2.87   2.245777859   1.039791096 
  2.88   2.256177814   1.040197286 
  2.89   2.266581752   1.040587802 
  2.90   2.276989518   1.040962878 
  2.91   2.287400959   1.041322752 
  2.92   2.297815924   1.041667660 
  2.93   2.308234263   1.041997840 
  2.94   2.318655832   1.042313531 
  2.95   2.329080486   1.042614971 
  2.96   2.339508085   1.042902398 
  2.97   2.349938488   1.043176052 
  2.98   2.360371561   1.043436171 
  2.99   2.370807168   1.043682994 
  3.00   2.381245177   1.043916760 
  3.01   2.391685460   1.044137707 
  3.02   2.402127889   1.044346072 
  3.03   2.412572340   1.044542093 
  3.04   2.423018691   1.044726006 
  3.05   2.433466821   1.044898047 
  3.06   2.443916613   1.045058450 
  3.07   2.454367952   1.045207450 
  3.08   2.464820725   1.045345280 
  3.09   2.475274821   1.045472171 
  3.10   2.485730132   1.045588353 
  3.11   2.496186553   1.045694057 
  3.12   2.506643979   1.045789509 
  3.13   2.517102310   1.045874936 
  3.14   2.527561445   1.045950562 
  3.15   2.538021289   1.046016612 
  3.16   2.548481747   1.046073305 
  3.17   2.558942725   1.046120862 
  3.18   2.569404134   1.046159501 
  3.19   2.579865886   1.046189437 
  3.20   2.590327894   1.046210884 
  3.21   2.600790076   1.046224055 
  3.22   2.611252349   1.046229158 
  3.23   2.621714633   1.046226402 
  3.24   2.632176851   1.046215993 
  3.25   2.642638928   1.046198132 
  3.26   2.653100790   1.046173022 
  3.27   2.663562365   1.046140860 
  3.28   2.674023584   1.046101844 
  3.29   2.684484380   1.046056167 
  3.30   2.694944686   1.046004020 
  3.31   2.705404439   1.045945592 
  3.32   2.715863577   1.045881070 
  3.33   2.726322041   1.045810637 
  3.34   2.736779771   1.045734475 
  3.35   2.747236712   1.045652762 
  3.36   2.757692808   1.045565675 
  3.37   2.768148008   1.045473387 
  3.38   2.778602259   1.045376069 
  3.39   2.789055513   1.045273888 
  3.40   2.799507721   1.045167011 
  3.41   2.809958838   1.045055600 
  3.42   2.820408819   1.044939814 
  3.43   2.830857620   1.044819812 
  3.44   2.841305202   1.044695749 
  3.45   2.851751522   1.044567775 
  3.46   2.862196544   1.044436040 
  3.47   2.872640231   1.044300690 
  3.48   2.883082547   1.044161870 
  3.49   2.893523457   1.044019720 
  3.50   2.903962930   1.043874378 
  3.51   2.914400935   1.043725980 
  3.52   2.924837440   1.043574659 
  3.53   2.935272419   1.043420545 
  3.54   2.945705842   1.043263766 
  3.55   2.956137685   1.043104446 
  3.56   2.966567923   1.042942707 
  3.57   2.976996532   1.042778669 
  3.58   2.987423489   1.042612449 
  3.59   2.997848774   1.042444162 
  3.60   3.008272366   1.042273918 
  3.61   3.018694246   1.042101827 
  3.62   3.029114397   1.041927996 
  3.63   3.039532801   1.041752528 
  3.64   3.049949442   1.041575526 
  3.65   3.060364306   1.041397087 
  3.66   3.070777379   1.041217310 
  3.67   3.081188648   1.041036287 
  3.68   3.091598101   1.040854111 
  3.69   3.102005727   1.040670871 
  3.70   3.112411516   1.040486654 
  3.71   3.122815457   1.040301544 
  3.72   3.133217544   1.040115625 
  3.73   3.143617767   1.039928976 
  3.74   3.154016121   1.039741675 
  3.75   3.164412599   1.039553798 
  3.76   3.174807195   1.039365418 
  3.77   3.185199906   1.039176607 
  3.78   3.195590726   1.038987434 
  3.79   3.205979653   1.038797965 
  3.80   3.216366685   1.038608267 
  3.81   3.226751818   1.038418402 
  3.82   3.237135053   1.038228431 
  3.83   3.247516387   1.038038413 
  3.84   3.257895821   1.037848406 
  3.85   3.268273355   1.037658465 
  3.86   3.278648990   1.037468643 
  3.87   3.289022729   1.037278992 
  3.88   3.299394571   1.037089562 
  3.89   3.309764521   1.036900401 
  3.90   3.320132580   1.036711555 
  3.91   3.330498753   1.036523070 
  3.92   3.340863043   1.036334987 
  3.93   3.351225454   1.036147349 
  3.94   3.361585991   1.035960195 
  3.95   3.371944660   1.035773563 
  3.96   3.382301465   1.035587491 
  3.97   3.392656412   1.035402014 
  3.98   3.403009507   1.035217164 
  3.99   3.413360757   1.035032976 
  4.00   3.423710169   1.034849479 
  4.01   3.434057749   1.034666704 
  4.02   3.444403505   1.034484678 
  4.03   3.454747445   1.034303429 
  4.04   3.465089577   1.034122982 
  4.05   3.475429908   1.033943362 
  4.06   3.485768447   1.033764592 
  4.07   3.496105202   1.033586694 
  4.08   3.506440184   1.033409690 
  4.09   3.516773399   1.033233598 
  4.10   3.527104859   1.033058439 
  4.11   3.537434571   1.032884229 
  4.12   3.547762546   1.032710985 
  4.13   3.558088794   1.032538724 
  4.14   3.568413324   1.032367459 
  4.15   3.578736147   1.032197204 
  4.16   3.589057272   1.032027973 
  4.17   3.599376710   1.031859777 
  4.18   3.609694471   1.031692628 
  4.19   3.620010566   1.031526535 
  4.20   3.630325005   1.031361508 
  4.21   3.640637799   1.031197556 
  4.22   3.650948960   1.031034687 
  4.23   3.661258497   1.030872908 
  4.24   3.671566422   1.030712225 
  4.25   3.681872745   1.030552644 
  4.26   3.692177478   1.030394170 
  4.27   3.702480632   1.030236808 
  4.28   3.712782218   1.030080561 
  4.29   3.723082247   1.029925433 
  4.30   3.733380730   1.029771426 
  4.31   3.743677679   1.029618543 
  4.32   3.753973105   1.029466785 
  4.33   3.764267019   1.029316152 
  4.34   3.774559432   1.029166646 
  4.35   3.784850355   1.029018266 
  4.36   3.795139801   1.028871012 
  4.37   3.805427779   1.028724883 
  4.38   3.815714302   1.028579879 
  4.39   3.825999381   1.028435996 
  4.40   3.836283026   1.028293233 
  4.41   3.846565249   1.028151588 
  4.42   3.856846061   1.028011057 
  4.43   3.867125474   1.027871638 
  4.44   3.877403498   1.027733326 
  4.45   3.887680144   1.027596119 
  4.46   3.897955424   1.027460011 
  4.47   3.908229348   1.027324999 
  4.48   3.918501927   1.027191078 
  4.49   3.928773173   1.027058242 
  4.50   3.939043096   1.026926487 
  4.51   3.949311707   1.026795807 
  4.52   3.959579016   1.026666197 
  4.53   3.969845034   1.026537650 
  4.54   3.980109772   1.026410160 
  4.55   3.990373241   1.026283722 
  4.56   4.000635450   1.026158329 
  4.57   4.010896411   1.026033973 
  4.58   4.021156133   1.025910649 
  4.59   4.031414627   1.025788350 
  4.60   4.041671903   1.025667068 
  4.61   4.051927972   1.025546796 
  4.62   4.062182843   1.025427527 
  4.63   4.072436526   1.025309254 
  4.64   4.082689031   1.025191968 
  4.65   4.092940368   1.025075664 
  4.66   4.103190548   1.024960332 
  4.67   4.113439578   1.024845965 
  4.68   4.123687470   1.024732555 
  4.69   4.133934232   1.024620094 
  4.70   4.144179875   1.024508575 
  4.71   4.154424407   1.024397990 
  4.72   4.164667838   1.024288329 
  4.73   4.174910177   1.024179586 
  4.74   4.185151433   1.024071752 
  4.75   4.195391615   1.023964819 
  4.76   4.205630732   1.023858779 
  4.77   4.215868793   1.023753624 
  4.78   4.226105807   1.023649345 
  4.79   4.236341783   1.023545934 
  4.80   4.246576729   1.023443384 
  4.81   4.256810654   1.023341686 
  4.82   4.267043565   1.023240831 
  4.83   4.277275473   1.023140812 
  4.84   4.287506384   1.023041621 
  4.85   4.297736308   1.022943249 
  4.86   4.307965252   1.022845688 
  4.87   4.318193225   1.022748930 
  4.88   4.328420233   1.022652968 
  4.89   4.338646287   1.022557793 
  4.90   4.348871392   1.022463396 
  4.91   4.359095557   1.022369771 
  4.92   4.369318790   1.022276910 
  4.93   4.379541098   1.022184803 
  4.94   4.389762488   1.022093444 
  4.95   4.399982969   1.022002825 
  4.96   4.410202547   1.021912938 
  4.97   4.420421230   1.021823776 
  4.98   4.430639025   1.021735330 
  4.99   4.440855939   1.021647593 
  5.00   4.451071979   1.021560558 
  5.01   4.461287153   1.021474218 
  5.02   4.471501466   1.021388564 
  5.03   4.481714926   1.021303589 
  5.04   4.491927540   1.021219287 
  5.05   4.502139314   1.021135649 
  5.06   4.512350255   1.021052670 
  5.07   4.522560370   1.020970341 
  5.08   4.532769664   1.020888656 
  5.09   4.542978145   1.020807607 
  5.10   4.553185818   1.020727188 
