x        m             v        
3.67   3.062339561   1.044271853 
3.68   3.072781830   1.044181467 
3.69   3.083223181   1.044088335 
3.70   3.093663588   1.043992557 
3.71   3.104103024   1.043894230 
3.72   3.114541464   1.043793450 
3.73   3.124978885   1.043690310 
3.74   3.135415263   1.043584903 
3.75   3.145850576   1.043477319 
3.76   3.156284802   1.043367646 
3.77   3.166717922   1.043255969 
3.78   3.177149915   1.043142374 
3.79   3.187580763   1.043026942 
3.80   3.198010448   1.042909755 
3.81   3.208438953   1.042790892 
3.82   3.218866261   1.042670429 
3.83   3.229292356   1.042548442 
3.84   3.239717225   1.042425004 
3.85   3.250140852   1.042300188 
3.86   3.260563224   1.042174063 
3.87   3.270984329   1.042046699 
3.88   3.281404154   1.041918161 
3.89   3.291822689   1.041788515 
3.90   3.302239921   1.041657824 
3.91   3.312655842   1.041526151 
3.92   3.323070441   1.041393555 
3.93   3.333483710   1.041260096 
3.94   3.343895640   1.041125830 
3.95   3.354306224   1.040990814 
3.96   3.364715454   1.040855102 
3.97   3.375123324   1.040718745 
3.98   3.385529827   1.040581797 
3.99   3.395934958   1.040444305 
4.00   3.406338712   1.040306320 
4.01   3.416741083   1.040167887 
4.02   3.427142068   1.040029053 
4.03   3.437541663   1.039889862 
4.04   3.447939864   1.039750358 
4.05   3.458336669   1.039610581 
4.06   3.468732075   1.039470572 
4.07   3.479126080   1.039330371 
4.08   3.489518682   1.039190016 
4.09   3.499909880   1.039049543 
4.10   3.510299673   1.038908989 
4.11   3.520688059   1.038768387 
4.12   3.531075040   1.038627771 
4.13   3.541460615   1.038487174 
4.14   3.551844784   1.038346626 
4.15   3.562227548   1.038206158 
4.16   3.572608907   1.038065799 
4.17   3.582988864   1.037925576 
4.18   3.593367419   1.037785518 
4.19   3.603744575   1.037645649 
4.20   3.614120333   1.037505996 
4.21   3.624494696   1.037366583 
4.22   3.634867666   1.037227432 
4.23   3.645239245   1.037088567 
4.24   3.655609438   1.036950008 
4.25   3.665978247   1.036811777 
4.26   3.676345675   1.036673893 
4.27   3.686711726   1.036536376 
4.28   3.697076404   1.036399243 
4.29   3.707439712   1.036262513 
4.30   3.717801655   1.036126202 
4.31   3.728162237   1.035990326 
4.32   3.738521463   1.035854900 
